Fuente de abastecimiento;Diseno;Fabricacion;Circulo economico;Distribucion_ventas;Consumo_uso;Reciclar_reutilizar_reparar_remanufacturar ;Re_fabricacion;Sostenibilidad;NEC_H;NEC_NH
3;4;4;4;4;4;3;4;4;3,74;3,92
1;1;1;5;1;1;1;1;3;1,65;2,08
1;2;1;4;1;1;2;1;3;1,76;1,89
1;2;2;2;3;2;2;2;3;2,09;2,25
3;3;3;3;3;3;3;3;3;2,97;3
3;3;3;3;3;3;3;3;3;2,97;3
3;3;3;3;4;3;3;3;3;3,08;3,26
2;2;1;3;1;1;1;1;1;1,43;1,57
3;3;3;3;3;3;3;3;3;2,97;3
3;3;3;3;3;3;3;3;3;2,97;3
2;3;3;4;3;3;3;3;3;2,97;3,23
3;3;3;3;3;3;3;3;3;2,97;3
3;1;3;4;2;2;1;2;3;2,31;2,68
1;1;3;2;1;1;2;2;2;1,65;1,76
1;4;4;4;4;3;3;4;3;3,3;3,73
3;3;3;4;4;3;4;4;4;3,52;3,66
1;1;1;5;1;1;1;1;4;1,76;2,1
2;2;3;5;3;3;1;3;3;2,75;3,37
1;3;3;3;4;2;2;5;4;2,97;3,2
2;2;3;3;3;2;2;3;3;2,53;2,79
3;2;3;3;2;2;2;3;3;2,53;2,56
1;1;1;2;2;2;2;2;3;1,76;1,79
3;3;3;1;3;2;3;3;4;2,75;2,39
2;3;4;4;3;3;3;3;5;3,3;3,45
3;3;5;3;3;3;3;5;5;3,63;3,54
3;3;3;4;3;3;3;3;3;3,08;3,26
2;3;2;2;2;1;1;3;2;1,98;1,93
1;2;1;1;1;1;2;2;1;1,32;1,14
4;4;4;4;4;3;3;3;3;3,52;3,75
4;4;4;4;4;4;4;4;4;3,96;4
3;4;2;4;1;1;3;2;3;2,53;2,29
1;1;1;5;1;1;1;1;1;1,43;2,04
2;2;3;3;3;2;3;4;2;2,64;2,89
2;2;3;3;2;2;2;2;2;2,2;2,44
2;2;3;3;2;2;2;2;3;2,31;2,46
