Fuente o abastecimiento de materiales. materias primas;Diseño;Fabricación;Circulo económico;Distribución y ventas (cadena);Consumo y uso (re-uso de productos);Reciclar-reutilizar-reparar-remanufacturar ;Re fabricación;Sostenibilidad;NEC (Peso homogéneo);NEC (Peso no homogéneo)
1,22;1,54;1,85;2,04;2,17;1,17;1,46;3,75;2,42;1,94;2,01
1,38;2,4;2,36;2,22;2,26;1,54;1,72;2,18;2,82;2,08;2,145
2,03;2,61;3,26;2,35;2,29;1,48;1,79;2,53;2,05;2,24;2,377
1,76;1,98;3,16;2,38;2,4;1,23;1,9;2,05;2,09;2,08;2,318
1,41;1,97;1,94;1,99;2,66;1,15;1,95;1,25;2,18;1,81;1,994
1,5;1,89;2,94;2,83;2,05;1,57;1,69;1,48;3,43;2,13;2,311
1,04;1,19;1,43;1,41;1,38;1,35;1,52;1,55;1,92;1,41;1,409
1,14;1,54;2,14;1,83;1,54;1,35;1,77;2;2,05;1,69;1,746
1,04;1,29;1,67;1,52;1,38;1,23;1,48;1,6;2,09;1,46;1,473
1,09;1,39;2;1,69;1,41;1,23;1,46;1,92;2,09;1,57;1,611
1,04;1,28;1,43;1,56;1,4;1,32;1,65;1,85;2,09;1,5;1,48
1,04;1,28;1,67;1,42;1,32;1,23;1,44;1,5;2,09;1,43;1,423
1,09;1,4;1,67;1,69;1,32;1,26;1,57;1,92;2,09;1,54;1,536
1,41;1,36;1,18;1,92;1,95;1,42;1,89;2,76;2,05;1,75;1,774
1,6;1,36;1,4;2,35;1,64;1,06;1,54;1,25;1,6;1,52;1,678
1,26;1,33;1;2;2,14;1,26;1,33;2;2,24;1,6;1,711
1,44;1,34;1,15;1,39;1,35;1,15;1,4;1,25;2,24;1,4;1,317
1,04;1,25;1;1,79;1,27;1,17;1,28;1,6;1,63;1,33;1,371
1;1,25;1;1,8;1,26;1,09;1,28;1,67;1,67;1,32;1,364
1,13;1,11;1,19;1,79;1,43;1,09;1,15;1,23;1,63;1,29;1,403
1,2;1,11;1,19;1,83;1,33;1,08;1,41;1,25;1,67;1,33;1,405
1;1,11;1,19;2,22;1,76;1;1,33;1,23;1,67;1,38;1,598
1;1,11;1,19;1,92;1,47;1;1,25;1,67;1,67;1,35;1,472
1;1,11;1;2,78;1,29;1;1,15;1;1,67;1,32;1,561
1,06;1,11;1,19;1,89;1,36;1;1,21;1,25;2,42;1,37;1,419
1;1,11;1;2,7;1,56;1,08;1,14;2,31;1,63;1,49;1,71
1;1,11;1,15;1,87;1,34;1;1,2;1,23;1,67;1,27;1,384
1;1,11;1;2,27;1,28;1;1,19;1,63;1,67;1,34;1,473
1;1,11;1;1,84;1,28;1;1,09;1,25;1,67;1,24;1,33
1;1,11;1;1,77;1,18;1;1,09;1,23;1,67;1,22;1,284
1;1,19;1;1,67;1,49;1,08;1,14;1,25;1,63;1,26;1,349
1;1,11;1;1,82;1,27;1;1,15;1,25;1,67;1,24;1,325
1;1,11;1;1,6;1,23;1;1,13;1,25;1,63;1,21;1,256
1;1,11;1,19;1,44;1,21;1;1,14;1,63;1,67;1,25;1,27
1;1,11;1,15;1,84;1,09;1;1,3;1,25;1,63;1,25;1,316
1,76;1,62;2,52;2,18;1,8;1,1;1,23;1,67;2,5;1,8;1,924
1,23;1,11;1,15;2,16;1,49;1,17;1,27;1,67;1,67;1,42;1,559
1,33;1,11;1,15;1,9;1,49;1,08;1,35;1,25;2,5;1,45;1,477
1,23;1,11;1,15;1,9;1,5;1,17;1,27;1,67;1,67;1,39;1,495
1,23;1,11;1,15;1,9;1,49;1,17;1,27;1,67;1,67;1,39;1,493
1,06;1,19;1;1,83;1,53;1,23;1,2;1,97;1,55;1,38;1,474
1,06;1,09;1;1,82;1,64;1,23;1,2;1,97;1,55;1,38;1,498
1,04;1,19;1;1,75;1,55;1,2;1,24;1,78;1,55;1,35;1,445
1,04;1,26;1;1,99;1,63;1,13;1,24;2,09;1,55;1,42;1,541
1,11;1,17;1;1,76;1,53;1,26;1,21;2,05;1,92;1,43;1,474
1,06;1,19;1;1,79;1,57;1,23;1,21;1,92;1,55;1,38;1,47
1,06;1,09;1;1,78;1,7;1,2;1,2;1,97;1,92;1,42;1,507
1,06;1,28;1;1,9;1,78;1,23;1,24;2,09;1,92;1,48;1,577
1,58;1,5;2,27;2,02;1,73;1,24;1,24;1,67;1,6;1,63;1,809
1,47;1,49;2,36;1,99;1,69;1,16;1,19;1,67;1,67;1,62;1,794
1,48;1,5;2,27;2,06;1,79;1,16;1,33;1,67;1,63;1,64;1,83
1,48;1,54;2,52;1,95;1,76;1,46;1,28;1,55;1,63;1,67;1,861
1,31;1,43;2,22;1,9;1,7;1,17;1,2;1,63;1,6;1,56;1,741
1,33;1,52;2,22;1,97;1,62;1,17;1,13;1,63;1,6;1,56;1,736
1,57;1,52;2,46;2,01;1,76;1,15;1,34;1,63;1,63;1,66;1,841
1,51;1,51;2,59;2,14;1,78;1,19;1,31;1,67;1,67;1,69;1,905
1,66;1,57;2,52;2,11;1,83;1,19;1,3;1,67;1,67;1,71;1,905
1,62;1,5;2,4;2;1,68;1,19;1,26;1,67;1,6;1,64;1,809
1,58;1,52;2,46;2,06;1,67;1,3;1,19;1,63;1,63;1,66;1,84
1,19;1,3;1,36;1,9;1,55;1,16;1,31;1,6;1,8;1,45;1,543
